MES,Sistema de abastecimento,Turbidez-E,Turbidez-R,Turbidez-C,Cor-E,Cor-R,Cor-C,Cloro-E,Cloro-R,Cloro-C,Colif.Totais-E,Colif.Totais-R,Colif.Totais-C,E.coli-E,E.coli-R,E.coli-C
JAN,Jardim Sta Inês III,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17
FEV,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
MAR,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ABR,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
MAI,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
JUN,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
JUL,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
AGO,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
SET,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
OUT,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
NOV,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
DEZ,Jardim Sta Inês III,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
JAN,ETA II - São José dos Campos,148,148,148,148,148,148,148,148,146,148,148,147,148,148,148
FEV,ETA II - São José dos Campos,153,153,153,153,153,153,153,153,153,153,153,152,153,153,153
MAR,ETA II - São José dos Campos,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
ABR,ETA II - São José dos Campos,153,153,153,153,153,153,153,153,153,153,153,152,153,153,153
MAI,ETA II - São José dos Campos,153,154,154,153,154,154,153,154,154,153,154,154,153,154,154
JUN,ETA II - São José dos Campos,153,153,153,153,153,153,153,153,153,153,153,148,153,153,153
JUL,ETA II - São José dos Campos,153,154,153,153,154,153,153,154,154,153,154,154,153,154,154
AGO,ETA II - São José dos Campos,153,154,154,153,154,154,153,154,154,153,154,144,153,154,154
SET,ETA II - São José dos Campos,153,154,154,153,154,154,153,154,154,153,154,152,153,154,154
OUT,ETA II - São José dos Campos,153,154,154,153,154,154,153,154,154,153,154,148,153,153,154
NOV,ETA II - São José dos Campos,153,154,154,153,154,154,153,154,151,153,154,149,153,154,154
DEZ,ETA II - São José dos Campos,153,154,152,153,154,148,153,154,153,153,154,150,153,154,154
JAN,Residencial Righ,148,148,148,148,148,148,148,148,146,148,148,147,148,148,148
FEV,Residencial Righ,153,153,153,153,153,153,153,153,153,153,153,152,153,153,153
MAR,Residencial Righ,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
ABR,Residencial Righ,153,153,153,153,153,153,153,153,153,153,153,152,153,153,153
MAI,Residencial Righ,153,154,154,153,154,154,153,154,154,153,154,154,153,154,154
JUN,Residencial Righ,153,153,153,153,153,153,153,153,153,153,153,148,153,153,153
JUL,Residencial Righ,153,154,153,153,154,153,153,154,154,153,154,154,153,154,154
AGO,Residencial Righ,153,154,154,153,154,154,153,154,154,153,154,144,153,154,154
SET,Residencial Righ,153,154,154,153,154,154,153,154,154,153,154,152,153,154,154
OUT,Residencial Righ,153,154,154,153,154,154,153,154,154,153,154,148,153,154,154
NOV,Residencial Righ,153,154,154,153,154,154,153,154,151,153,154,149,153,154,154
DEZ,Residencial Righ,153,154,152,153,154,148,153,154,153,153,154,150,153,154,154
JAN,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
FEV,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
MAR,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ABR,ETA São Francisco Xavier,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
MAI,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
JUN,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
JUL,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
AGO,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SET,ETA São Francisco Xavier,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
